SA-CON-007,JS Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-008,Platchro Mining Services cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-009,MMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-010,Psitron Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-011,Mangena Engineering Contractors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-012,Alsandro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-013,Greenline Projects (Pty) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-014,Z1 Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA-CON-015,The Vision Plant (Pty) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-ENG-001,Mining Engineering Services (MES Holdings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-ENG-002,Entreprise Generale Malta Forrest (EGMF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-ENG-003,METALCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-ENG-004,Edile Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-ENG-005,Maisons Super Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-ENG-006,Sisimizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-ENG-007,VSi Afrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-ENG-008,Adi-Construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-ENG-009,Benco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
